Time,Activities,Duration,Distance,Avg speed,Avg pace,Avg heart rate,Ascent,TSS®,Calories,Est. VO₂max
26/07/21-01/08/21,9,6:42'04 ,"114,4 km","17,1 km/h",06'41 /km,137 bpm,1 340 m,370 TSS,4 746 kcal,"55,9 "
19/07/21-25/07/21,6,4:39'41 ,"97,73 km","21,0 km/h",09'53 /km,126 bpm,831 m,213 TSS,2 911 kcal,-
12/07/21-18/07/21,3,2:51'46 ,"73,85 km","25,8 km/h",-,118 bpm,407 m,139 TSS,1 598 kcal,-
05/07/21-11/07/21,2,1:12'36 ,"28,17 km","23,3 km/h",-,109 bpm,46 m,40 TSS,620 kcal,-
28/06/21-04/07/21,1,3:15'58 ,"12,50 km","3,8 km/h",15'40 /km,-,888 m,160 TSS,807 kcal,-
21/06/21-27/06/21,2,3:30'58 ,"14,91 km","4,2 km/h",14'08 /km,-,586 m,173 TSS,873 kcal,-
14/06/21-20/06/21,8,7:16'56 ,"171,9 km","23,6 km/h",09'01 /km,136 bpm,623 m,384 TSS,4 715 kcal,-
07/06/21-13/06/21,3,1:50'55 ,"26,50 km","14,3 km/h",07'41 /km,125 bpm,40 m,78 TSS,1 192 kcal,"60,3 "
31/05/21-06/06/21,2,1:38'53 ,"21,02 km","12,8 km/h",04'42 /km,135 bpm,37 m,83 TSS,1 051 kcal,"61,1 "
24/05/21-30/05/21,6,8:12'47 ,"100,3 km","12,2 km/h",04'54 /km,140 bpm,2 033 m,492 TSS,5 430 kcal,"59,7 "
17/05/21-23/05/21,8,11:52'39 ,"144,1 km","12,1 km/h",04'56 /km,136 bpm,2 405 m,636 TSS,7 538 kcal,"59,8 "
10/05/21-16/05/21,9,10:40'24 ,"137,5 km","13,0 km/h",05'03 /km,136 bpm,2 205 m,576 TSS,7 041 kcal,"60,4 "
03/05/21-09/05/21,7,9:15'35 ,"112,6 km","12,2 km/h",04'56 /km,133 bpm,1 846 m,466 TSS,5 743 kcal,"61,0 "
26/04/21-02/05/21,8,9:13'10 ,"128,6 km","13,9 km/h",04'48 /km,139 bpm,1 414 m,545 TSS,6 172 kcal,"60,8 "
19/04/21-25/04/21,10,10:08'38 ,"158,3 km","15,6 km/h",04'41 /km,134 bpm,1 718 m,502 TSS,6 082 kcal,"60,4 "
12/04/21-18/04/21,9,9:33'05 ,"142,0 km","14,9 km/h",04'36 /km,140 bpm,1 320 m,569 TSS,6 397 kcal,"61,4 "
05/04/21-11/04/21,7,8:06'08 ,"100,4 km","12,4 km/h",04'50 /km,136 bpm,1 328 m,432 TSS,5 188 kcal,"60,2 "
29/03/21-04/04/21,10,10:21'40 ,"133,4 km","12,9 km/h",05'17 /km,133 bpm,711 m,426 TSS,5 169 kcal,"61,8 "
22/03/21-28/03/21,8,9:12'19 ,"126,7 km","13,8 km/h",04'42 /km,133 bpm,708 m,489 TSS,5 943 kcal,"62,4 "
15/03/21-21/03/21,5,7:21'52 ,"88,03 km","12,0 km/h",05'01 /km,139 bpm,1 507 m,417 TSS,4 772 kcal,"61,4 "
08/03/21-14/03/21,6,7:04'45 ,"90,93 km","12,8 km/h",04'40 /km,139 bpm,580 m,402 TSS,4 843 kcal,"61,6 "
01/03/21-07/03/21,8,9:18'36 ,"130,0 km","14,0 km/h",04'46 /km,132 bpm,969 m,499 TSS,5 202 kcal,"61,7 "
22/02/21-28/02/21,9,9:33'12 ,"136,6 km","14,3 km/h",04'44 /km,136 bpm,1 252 m,557 TSS,6 400 kcal,"62,1 "
15/02/21-21/02/21,5,5:39'15 ,"75,13 km","13,3 km/h",04'30 /km,139 bpm,125 m,373 TSS,4 104 kcal,"60,9 "
08/02/21-14/02/21,8,7:43'35 ,"94,29 km","12,2 km/h",04'54 /km,-,814 m,709 TSS,7 255 kcal,"58,2 "
01/02/21-07/02/21,9,7:39'14 ,"109,5 km","14,3 km/h",04'40 /km,160 bpm,363 m,669 TSS,6 369 kcal,"58,8 "
25/01/21-31/01/21,8,7:57'40 ,"126,4 km","15,9 km/h",04'38 /km,136 bpm,190 m,333 TSS,5 365 kcal,"60,6 "
18/01/21-24/01/21,8,7:43'40 ,"113,1 km","14,6 km/h",04'46 /km,137 bpm,70 m,0 TSS,6 146 kcal,"62,5 "
11/01/21-17/01/21,7,6:22'04 ,"80,02 km","12,6 km/h",04'46 /km,160 bpm,31 m,0 TSS,6 081 kcal,"56,1 "
04/01/21-10/01/21,9,10:39'34 ,"86,35 km","8,1 km/h",07'24 /km,101 bpm,2 327 m,0 TSS,6 498 kcal,"53,4 "
28/12/20-03/01/21,10,9:17'46 ,"73,55 km","7,9 km/h",07'35 /km,124 bpm,1 196 m,0 TSS,5 746 kcal,"53,3 "
21/12/20-27/12/20,6,5:40'27 ,"39,60 km","7,0 km/h",08'35 /km,98 bpm,987 m,0 TSS,2 748 kcal,"55,4 "
14/12/20-20/12/20,9,11:06'27 ,"77,84 km","7,0 km/h",08'33 /km,125 bpm,2 321 m,0 TSS,5 873 kcal,"55,8 "
07/12/20-13/12/20,0,-,-,-,-,-,-,-,-,-
30/11/20-06/12/20,8,5:30'08 ,"54,60 km","9,9 km/h",06'02 /km,138 bpm,35 m,0 TSS,4 541 kcal,"54,3 "
23/11/20-29/11/20,7,6:18'20 ,"46,66 km","7,4 km/h",08'06 /km,112 bpm,9 m,0 TSS,3 573 kcal,"54,2 "
16/11/20-22/11/20,8,8:53'53 ,"91,63 km","10,3 km/h",05'49 /km,135 bpm,519 m,0 TSS,6 863 kcal,"57,1 "
09/11/20-15/11/20,6,7:48'18 ,"90,81 km","11,6 km/h",05'09 /km,-,1 282 m,0 TSS,7 309 kcal,"56,1 "
02/11/20-08/11/20,7,11:55'58 ,"86,14 km","7,7 km/h",07'46 /km,112 bpm,2 506 m,0 TSS,7 922 kcal,"56,7 "
